start;end;activity;artifact;electrode
0;1000;1;2;2
1000;2000;1;2;2
2000;3000;1;2;2
3000;4000;1;2;2
4000;5000;1;2;2
5000;6000;1;2;2
6000;7000;1;2;2
7000;8000;1;2;2
8000;9000;1;1;2
9000;10000;1;2;2
10000;11000;1;2;2
11000;12000;1;1;2
12000;13000;1;2;2
13000;14000;1;1;2
14000;15000;1;2;2
15000;16000;1;2;2
16000;17000;1;1;2
17000;18000;1;2;2
18000;19000;1;1;2
19000;20000;1;2;2
20000;21000;1;1;2
21000;22000;1;1;2
22000;23000;1;2;2
23000;24000;1;1;2
24000;25000;1;2;2
25000;26000;1;2;2
26000;27000;1;1;2
27000;28000;1;2;2
28000;29000;1;1;2
