start;end;activity;artifact
0;1000;4;0
1000;2000;4;1
2000;3000;4;1
3000;4000;4;1
4000;5000;4;1
5000;6000;4;1
6000;7000;4;1
7000;8000;4;1
8000;9000;4;1
9000;10000;4;1
10000;11000;4;0
11000;12000;4;1
12000;13000;4;1
13000;14000;4;1
14000;15000;4;0
15000;16000;4;0
16000;17000;4;0
17000;18000;4;0
18000;19000;4;1
19000;20000;4;1
20000;21000;4;0
21000;22000;4;1
22000;23000;4;1
23000;24000;4;1
24000;25000;4;0
25000;26000;4;1
26000;27000;4;1
27000;28000;4;0
28000;29000;4;1
29000;30000;4;0
30000;31000;4;1
