start;end;activity;artifact;electrode
0;1000;1;1;1
1000;2000;1;1;1
2000;3000;1;2;1
3000;4000;1;1;1
4000;5000;1;2;1
5000;6000;1;2;1
6000;7000;1;1;1
7000;8000;1;2;1
8000;9000;1;2;1
9000;10000;1;2;1
10000;11000;1;2;1
11000;12000;1;1;1
12000;13000;1;2;1
13000;14000;1;1;1
14000;15000;1;2;1
15000;16000;1;1;1
16000;17000;1;2;1
17000;18000;1;1;1
18000;19000;1;1;1
19000;20000;1;2;1
20000;21000;1;1;1
21000;22000;1;2;1
22000;23000;1;1;1
23000;24000;1;2;1
24000;25000;1;1;1
25000;26000;1;2;1
26000;27000;1;1;1
27000;28000;1;2;1
28000;29000;1;1;1
29000;30000;1;2;1
