start;end;activity;artifact;electrode
0;1000;3;4;1
1000;2000;3;4;1
2000;3000;3;4;1
3000;4000;3;4;1
4000;5000;3;4;1
5000;6000;3;4;1
6000;7000;3;4;1
7000;8000;3;4;1
8000;9000;3;4;1
9000;10000;3;4;1
10000;11000;3;4;1
11000;12000;3;4;1
12000;13000;3;4;1
13000;14000;3;4;1
14000;15000;3;4;1
15000;16000;3;4;1
16000;17000;3;4;1
17000;18000;3;4;1
18000;19000;3;4;1
19000;20000;3;4;1
20000;21000;3;4;1
21000;22000;3;4;1
22000;23000;3;4;1
23000;24000;3;4;1
24000;25000;3;4;1
25000;26000;3;4;1
26000;27000;3;4;1
27000;28000;3;4;1
28000;29000;3;4;1
29000;30000;3;4;1
