start;end;activity;artifact;electrode
0;1000;2;2;1
1000;2000;2;2;1
2000;3000;2;2;1
3000;4000;2;2;1
4000;5000;2;2;1
5000;6000;2;2;1
6000;7000;2;2;1
7000;8000;2;2;1
8000;9000;2;2;1
9000;10000;2;2;1
10000;11000;2;2;1
11000;12000;2;2;1
12000;13000;2;2;1
13000;14000;2;2;1
14000;15000;2;2;1
15000;16000;2;2;1
16000;17000;2;2;1
17000;18000;2;2;1
18000;19000;2;2;1
19000;20000;2;2;1
20000;21000;2;2;1
21000;22000;2;2;1
22000;23000;2;2;1
23000;24000;2;2;1
24000;25000;2;2;1
25000;26000;2;2;1
26000;27000;2;2;1
27000;28000;2;2;1
28000;29000;2;2;1
29000;30000;2;2;1
