start;end;activity;artifact;electrode
0;1000;4;2;3
1000;2000;4;2;3
2000;3000;4;2;3
3000;4000;4;2;3
4000;5000;4;2;3
5000;6000;4;2;3
6000;7000;4;2;3
7000;8000;4;2;3
8000;9000;4;2;3
9000;10000;4;2;3
10000;11000;4;2;3
11000;12000;4;2;3
12000;13000;4;2;3
13000;14000;4;2;3
14000;15000;4;2;3
15000;16000;4;2;3
16000;17000;4;2;3
17000;18000;4;2;3
18000;19000;4;2;3
19000;20000;4;2;3
20000;21000;4;2;3
21000;22000;4;2;3
22000;23000;4;2;3
23000;24000;4;2;3
24000;25000;4;2;3
25000;26000;4;2;3
26000;27000;4;2;3
27000;28000;4;2;3
28000;29000;4;2;3
29000;30000;4;2;3
